"lon","lat","Class"
-82.6386,30.83105,"A"
-81.64665,31.46641,"A"
-84.72352,34.8243,"A"
-83.66153,31.18562,"A"
-81.61756,31.9853,"A"
-83.77811,34.7673,"A"
-85.18678,34.17521,"A"
-85.02602,32.96854,"A"
-92.9008,41.3675,"A"
-93.82007,42.47806,"A"
-93.974,41.59377,"A"
-91.3867,43.078,"A"
-94.356,42.8674,"A"
-91.75205,40.995,"A"
-93.63804,41.62183,"A"
-96.40213,42.50817,"A"
-93.77783,40.59604,"A"
-92.76577,43.17215,"A"
-94.22206,42.72063,"A"
-94.3677,42.0152,"A"
-90.729,42.466,"A"
-93.22192,42.73854,"A"
-91.8043,42.7525,"A"
-91.68192,42.28422,"A"
-93.85965,40.8348,"A"
-94.045,41.461,"A"
-90.66615,42.4104,"A"
-91.74585,41.47445,"A"
-90.76557,42.55997,"A"
-111.1241,42.5149,"A"
-116.8381,48.18611,"A"
-115.75,45.08334,"A"
-116.0833,44.91666,"A"
-116.4,44.85,"A"
-116.25,42.79166,"A"
-116.9156,45.9978,"A"
-115.9167,44.75,"A"
-114.7503,44.25028,"A"
-115.5833,44.41666,"A"
-115.75,45.08334,"A"
-116.9266,47.70965,"A"
-116.0558,48.1143,"A"
-112.455,44.0925,"A"
-116.0834,44.58335,"A"
-116.8368,46.8102,"A"
-114.8281,43.4082,"A"
-111.7899,43.41005,"A"
-116.1475,48.255,"A"
-114.2634,42.21834,"A"
-115.586,46.94,"A"
-115.9965,47.509,"A"
-116.934,48.6334,"A"
-116.4171,48.49805,"A"
-111.1241,42.5149,"A"
-115.8714,44.28265,"A"
-90.608,39.2949,"A"
-89.136,38.98,"A"
-88.71672,37.34339,"A"
-91.0007,40.4664,"A"
-91.0863,40.8139,"A"
-89.9595,41.30412,"A"
-89.689,41.7798,"A"
-89.558,39.06,"A"
-90.16171,38.92241,"A"
-90.0594,40.5332,"A"
-89.09732,38.68707,"A"
-88.929,37.91,"A"
-88.562,41.3368,"A"
-88.595,41.295,"A"
-88.55,41.33,"A"
-88.562,41.3368,"A"
-88.1577,42.1295,"A"
-87.47077,40.34057,"A"
-89.54485,38.4763,"A"
-90.459,40.316,"A"
-89.5,39.853,"A"
-89.85,42.21,"A"
-89.022,42.1846,"A"
-88.867,39.781,"A"
-89.582,38.946,"A"
-89.98351,39.06,"A"
-90.9009,40.9452,"A"
-90.40675,41.55965,"A"
-90.64,39.607,"A"
-88.9963,37.289,"A"
-89.341,38.567,"A"
-89.80125,38.72226,"A"
-89.48787,39.26776,"A"
-90.1451,38.9951,"A"
-87.58124,41.16124,"A"
-89.3211,41.2285,"A"
-88.724,40.19732,"A"
-89.88871,39.93521,"A"
-89.73378,40.82944,"A"
-87.79683,41.63289,"A"
-90.24173,39.57463,"A"
-90.012,38.7774,"A"
-90.18651,39.6548,"A"
-90.17564,39.53747,"A"
-89.4691,39.7721,"A"
-90.0055,40.5658,"A"
-89.3469,39.5075,"A"
-89.99328,40.62288,"A"
-87.83285,41.84136,"A"
-89.3469,39.5075,"A"
-88.53889,41.33018,"A"
-88.60814,41.29663,"A"
-88.38197,37.60075,"A"
-90.40184,39.02341,"A"
-90.0795,41.7584,"A"
-88.71103,41.42396,"A"
-89.41959,40.14471,"A"
-88.1676,39.8213,"A"
-88.706,41.4209,"A"
-87.68468,38.71682,"A"
-89.88347,40.59904,"A"
-90.18332,40.98073,"A"
-88.29926,42.18476,"A"
-88.4586,41.61575,"A"
-90.16501,38.51689,"A"
-88.71402,41.42741,"A"
-86.1512,40.18,"A"
-85.7037,41.3382,"A"
-86.5945,41.062,"A"
-85.61,39.3579,"A"
-85.8486,39.365,"A"
-86.1084,40.0403,"A"
